text,user_mentions_count,hashtag_count,quoted_status,binary_in_reply_to_user_id,binary_in_reply_to_screen_name,binary_in_reply_to_status_id,possibly_sensitive,user_statuses_count,user_followers_count,user_following_count,user_list_count,user_contributors_enabled,popularHashtag1,popularHashtag2,popularHashtag3,popularHashtag4,popularHashtag5,popularHashtag6,popularHashtag7,popularHashtag8,popularHashtag9,popularHashtag10,10 min RT,10 min FAVE,30 min RT,30 min FAVE,1 hr RT,1 hr FAVE,20 hr RT,20 hr FAVE,Classification,matlab,actual
Didn't you just tweet about getting your N ? @GraceDobrovolny https://t.co/Zv8794wjAm,1,0,0,0,0,0,0,2279,639,523,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,4,1,20,1,,
Haven't had a drink today&#44; I may need one. Excited about #MSUvsIOWA #big10championship,0,2,0,0,0,0,0,9519,534,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,,
attention twitter: I am seeing joanna newsom live tomorrow night holy shit,0,0,0,0,0,0,0,10771,856,460,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3,0,,
I'm the good guy you want with the gun when evil happens.  I am the #NRA.  NRA members are America's #Patriots . https://t.co/nQA6IzfGuC,0,2,1,0,0,0,0,2407,2532,4976,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3,0,,
Wentworth golfers. There are lots of struggling clubs. Stop moaning and buy a new one.,0,0,0,0,0,0,0,6124,1567,341,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,,
I feel like I've abandoned Fallout for the Witcher. I still love you&#44; boo. Don't worry.,0,0,0,0,0,0,0,36766,2086,790,81,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,6,0,10,1,,
82 Year Old Vet Fights To Keep His American Flag Outside His Home https://t.co/YohTOnpWzr,0,0,0,0,0,0,0,16671,1766,2275,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,
Click here to watch it&#44; it's free: https://t.co/2QQoXjNzd8Five horny black studs provide a busty brunette with th… https://t.co/y3CxCfQqPp,0,0,0,0,0,0,0,61008,160266,129914,382,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,11,1,13,1,,
We are all going in a mdf katty sesh were not sleeping for a week or two,0,0,0,0,0,0,0,10739,579,694,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,3,0,,
"@LoveDurood ""Rich or poor can get the reward of an accepted Hajj and Umrah by doing this a'mal"" - ML Ibrahim Dewla db",1,0,0,1,1,1,0,19228,771,179,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,3,3,0,,
GUYS WISH ME LUCK IM GOING TO TRY AND MEET SHAWN AT THE AIRPORT TOMORROW,0,0,0,0,0,0,0,36748,3404,76,18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0,,
me and finn back to the iconic @'s,0,0,0,0,0,0,0,106303,1824,688,15,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,2,0,,
God my bro is annoying,0,0,0,0,0,0,0,6124,1941056,514,1738,0,0,0,0,0,0,0,0,0,0,0,184,1072,219,1331,238,1503,350,2523,1,,
Andy &amp; April are relationship goals.,0,0,0,0,0,0,0,8888,613,425,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,3,0,,
like for a dm😜💋🤘🏻💛😋⚡️,0,0,0,0,0,0,0,2563,687,438,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,21,0,28,0,43,1,,
I LOOK SO FUCKIG UGLY BUT HES SO CUTE I LOVE EVAN PETERS SO MUCH https://t.co/FHX8kAHwTn,0,0,0,0,0,0,0,42605,2446,198,12,0,0,0,0,0,0,0,0,0,0,0,4,13,4,15,4,15,4,18,1,,
[My Best Fans] @morrisonderavin @adeleandjeen @RFLACRTNA @19h21min @adeledevotion via https://t.co/Fw2UEKZl2n https://t.co/Wh5m4ZaX5t,5,0,0,0,0,0,0,253762,1939,1173,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,5,0,,
Does anyone know what constellation I captured... https://t.co/7xs2yfqP0K,0,0,0,0,0,0,0,592,9825,5774,100,0,0,0,0,0,0,0,0,0,0,0,2,5,2,5,2,5,3,9,1,,
@mj_max  You can make her happy! Enjoy!:-D Have a happy day!:-),1,0,0,1,1,1,0,6136,713,765,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,,
OSU not being in the B1G Championship Game is like being left out of the party all the cool kids are at. A feeling I'm very familiar with,0,0,0,0,0,0,0,5338,719,658,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,6,1,,
@agnesRD Thank you! Thank you!!!,1,0,0,1,1,1,0,50926,1464,391,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,,
Squeeleven ;) https://t.co/CoRznLekgU,0,0,1,0,0,0,0,6167,15058,418,53,0,0,0,0,0,0,0,0,0,0,0,7,17,8,18,9,20,12,24,1,,
@nicow61 @MattTooze I wish I was I'm multi tasking working / course work and breaks on Twitter lol,2,0,0,1,1,1,0,20740,30810,409,134,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,,
NOTHING MAKES ME HAPPIER THAN EVANS MOMS BEEF STEW,0,0,0,0,0,0,0,25480,645,340,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3,0,,
My favorite kind of troll https://t.co/KRXTcDxkDH,0,0,1,0,0,0,0,12777,16370,17211,186,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,3,1,3,0,,
US version of Xexex&#44; Orius&#44; has been unearthed https://t.co/fJdExpw6NH (thx/via @Zeether77) -LIX,1,0,0,0,0,0,0,5777,3521,6,143,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,5,5,11,12,1,,
the cause of my death  https://t.co/TUwjfAq4CI,0,0,1,0,0,0,0,107936,2187,911,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,,
I've followed plenty dear... R u talking about yourself? If so just say that oh... Roundabout no dey take us a/where https://t.co/S7ky1ERShK,0,0,1,0,0,0,0,17990,81911,11328,255,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,7,1,,
So after 2 hours of uploading this file... I pressed *X*  by accident when it was done uploading. I lost the whole upload...,0,0,0,0,0,0,0,3298,11927,99,6,0,0,0,0,0,0,0,0,0,0,0,1,19,1,22,1,26,1,37,1,,
@KinggFree: Really Pissed Me off 😡😒 https://t.co/O4LHEZKb4b fytb,1,0,0,0,0,0,0,9590,1190,680,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,4,0,,
@KCallea u have her (•) (•),1,0,0,1,1,1,0,15457,659,305,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,,
@ScantRockmeans @royjones78 @metpoliceuk wonderful policing.handled it so!well with minimum force necessary to make arrest,3,0,0,1,1,1,0,45011,812,1605,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,,
Is this Easton West thing real? What the hell...? If they name the kid that&#44; there better be a rimshot every time somebody says it out loud.,0,0,0,0,0,0,0,10210,58452,50697,304,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,,
You like one direction? Gross. I literally don't give a fuck and never will. Why should I not listen to music that makes me happy?,0,0,0,0,0,0,0,1094,1961,2921,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,6,5,6,8,8,1,,
Off to an evening wedding with one of my baby girl 💜 https://t.co/Fdw2e5vSsu,0,0,0,0,0,0,0,8276,21672,360,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,
Absolutely fabulous! Hope your journey continues to amaze you -- and all of us with the wonders of God's artistry https://t.co/IR3mJOVA1Y,0,0,1,0,0,0,0,2666,198367,2098,194,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,5,4,8,1,,
The Anthem by Good Charlotte is such a gooood song,0,0,0,0,0,0,0,25933,1577,1127,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,,
LMFAOOO&#44; NO? wtf. bc his music is good.  https://t.co/kZMxRqIhny,0,0,1,0,0,0,0,5628,12499,9756,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,,
@mxrphyslaw (๑˃̵ᴗ˂̵)و (^～^)i turn pics into emojis https://t.co/iopddVM0ck,1,0,0,1,1,1,0,78844,9064,1,66,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,2,0,,
Have a Blessed Sunday 😇,0,0,0,0,0,0,0,34,756,40,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,15,7,21,10,29,1,,
@rebelsuns haha ya. I cut mine too small though so I can't wear it now hahaha,1,0,0,1,1,1,0,3846,2350,62,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,,
dailynewsphoto's photo https://t.co/JT9tReM9AWRecommend following @dailynewsphoto on Instagram. Great display of work from our photo staff.,1,0,0,0,0,0,0,19118,1630,990,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,,
Athens* https://t.co/hQIoAvdX05,0,0,1,0,0,0,0,24364,6084,434,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,,
...Meanwhile at #PlaystationExperience https://t.co/y4Z1S3JL1x,0,1,0,0,0,0,0,5546,2600,455,23,0,0,0,0,0,0,0,0,0,0,0,2,9,2,16,2,18,2,25,1,,
Can't believe I actually met *THE* @LumberJoes at #GreyCup!!,1,1,0,0,0,0,0,69856,2045,1839,111,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,,
@AndyLac32 @CharterTV3 Thank you&#44; Andy. It's been great - right from the 9am kickoff.,2,0,0,1,1,1,0,6505,3115,1101,128,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,,
@MarilynT4 @Jeff_Sparrow @RichardDawkins Me either. https://t.co/TPG01vWFwg,3,0,0,1,1,1,0,29521,4269,4215,179,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,0,,
OK WE CUTE&#44; WE CUTE 👅 https://t.co/Vqar9q5wKK,0,0,1,0,0,0,0,52324,1079,980,11,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,3,2,3,0,,
I JUST WANNA HOLD MIKES HAND IS THAT TOO MUCH TO ASK FOR,0,0,0,0,0,0,0,14439,1332,159,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,3,0,,
Where should i eat tomorrow,0,0,0,0,0,0,0,3745,2578,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,2,0,,
sosososo done caring so much about people who clearly don't give a shit about me.,0,0,0,0,0,0,0,13677,6205,400,26,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,5,4,0,,
Ooo you know I'm feeling myself looking like this 🤔 https://t.co/JIcr2NV6BA,0,0,0,0,0,0,0,17635,968,1949,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,,
U can be Anything U Want To Be 💯👌🏿💪🏾,0,0,0,0,0,0,0,25580,3553,3095,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3,1,4,2,0,,
RT if you miss 5 Secondz of Sexx #MTVStars 5SOS https://t.co/4D3IfmgIph,0,1,0,0,0,0,0,1740,2563,197,3,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,5,0,,
Literally all I ever crave is Chinese food and Hacienda,0,0,0,0,0,0,0,13298,733,497,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,3,0,,
My life in a photo💘 https://t.co/KAW8QNUoZP,0,0,0,0,0,0,0,19755,2848,534,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,,
@missmolecular @haileypalmore I think it has to do with...proximity.,2,0,0,1,1,1,0,33403,1844,291,106,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,,
My parents are incredible https://t.co/s1x9EqFQ1o,0,0,0,0,0,0,0,11518,1006,728,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,5,1,13,1,,
"Good Morning! :"") Church later w/ my favorite people 💒☺️",0,0,0,0,0,0,0,4008,1070,364,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,6,0,8,1,,
Watching @CanadiensMTL in Carolina. A top team in @NHL comes to town on a Saturday night and the rink is still empty. #MoveThatTeam,2,1,0,0,0,0,0,9969,5931,751,140,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,7,1,,
I don't want to come home to horrible Britain so much bitterness and war. Fijians have nothing but are the happiest people you've ever met,0,0,0,0,0,0,0,6930,18428,643,114,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,6,0,12,1,,
Scotland a few years back mate.. But now they're a great crowd towards me 👍 https://t.co/AX54h9BWKK,0,0,1,0,0,0,0,20646,128036,1351,450,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,2,5,6,21,1,,
Internet's Booty Hall of Fame! (13 Photos) https://t.co/Ce63H2wN5y,0,0,0,0,0,0,0,240348,911255,415753,2745,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,2,4,4,4,0,,
The contracting out of the delivery of public services has failed (Centre for Policy Development)Read more: https://t.co/wxz1lkn0Fi,0,0,0,0,0,0,0,3601,2029,1973,13,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,3,3,8,5,0,,
Dale Earnhardt Jr. wins Most Popular Driver Award for 13th year in row | https://t.co/k6X9JwTYuE https://t.co/1zktFxm4OU,0,0,0,0,0,0,0,2882,730,1267,16,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,0,,
@braids the bullshit,1,0,0,1,1,1,0,209821,5854,145,124,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,,
Y'all remember the Dave Chapelle skit where he played the black white supremacist of Clayton Bigsby? This event is full of Claytons.,0,0,0,1,1,1,0,9133,9797,1031,104,0,0,0,0,0,0,0,0,0,0,0,4,7,9,17,15,25,28,50,1,,
Barack Husein Obama and the Destruction of Our Nationhttps://t.co/INjXpyaPdE  #pjnet,0,1,0,0,0,0,0,237594,35634,25826,606,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,2,0,,
Makeup isn't natural&#44; beards are :-)  https://t.co/o7raSGI5UP,0,0,1,0,0,0,0,72714,877,489,6,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,3,4,3,4,0,,
Wtf my mom made a Twitter😭😂,0,0,0,0,0,0,0,3932,704,551,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,3,0,,
I'd rather have a thousand paper cuts on my dick and stick it in rubbing alcohol&#44; than see that Geico Peter Pan commercial ever again..,0,0,0,0,0,0,0,31353,8208,6951,228,0,0,0,0,0,0,0,0,0,0,0,1,4,1,5,1,5,1,9,1,,
Just want you all to know Second Thoughts is still the best song in the world,0,0,0,0,0,0,0,59946,2724,506,16,0,0,0,0,0,0,0,0,0,0,0,2,5,3,5,4,6,4,9,1,,
Jack and the Beanstalk opens tomorrow&#44; buy your tickets now to avoid disappointment. https://t.co/a6MyfNboQr,0,0,0,0,0,0,0,501,839,1171,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,,
TweetBookTweet #ReadersChoice The Sister Max China UK link https://t.co/7ImyMdS92H #IARTG,0,2,0,0,0,0,0,12916,4398,4162,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,
Heres Fran Townsend RTing an ABC report that has already been corrected. The propaganda is thick with this one. https://t.co/rHhPMProgg,0,0,0,0,0,0,0,136428,32333,2105,1890,0,0,0,0,0,0,0,0,0,0,0,12,8,17,11,18,11,19,12,1,,
I'm used to things not working out so I never get my hopes up,0,0,0,0,0,0,0,15694,660,323,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,4,3,4,5,0,,
I miss Timmy :(,0,0,0,0,0,0,0,19021,611,330,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,3,0,,
@JODYCROWN @realDonaldTrump Just when you think things cannot get any worse&#44; they do. It's true.,2,0,0,1,1,1,0,158515,59265,10223,1037,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,2,8,1,,
It all comes down to the last person you think of at night They have your heart.,0,0,0,0,0,0,0,7230,151457,25,77,0,0,0,0,0,0,0,0,0,0,0,31,32,38,36,39,39,46,45,1,,
Get HARD Stay HARD Turn up in that pussy like a porn star try a box of African Superman &gt;&gt;&gt; https://t.co/T4us4tEiBd https://t.co/oir7sfq564,0,0,0,0,0,0,0,10188,40062,40275,73,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,10,1,,
LG Spidercam coverage of the #PAC12FCG b/w (20) USC and (7) Stanford starts @ 7:45ET. WATCH» https://t.co/50Ty6DHT70 https://t.co/jRJrIy8Fhu,0,1,0,0,0,0,0,36539,189882,1558,1851,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,2,3,2,4,0,,
Please make another album Donald! 😭 https://t.co/y5IJCjdUgi,0,0,1,0,0,0,0,1996,1153,880,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,,
I'm super sad to take a year out&#44; but it's the right call at this time. #sayingnoishard https://t.co/1bUaQPE5c7,0,1,1,0,0,0,1,4281,1592,1232,67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,,
Do you send insiders where you think they'll be at? How… — It's a whole process&#44; haha. You just have to make the r… https://t.co/q5oOzEyBy0,0,0,0,0,0,0,0,60940,8810,407,55,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,0,,
GOOOOAAALLLLL!! @JeffSkinner!!! #Canes tie the game at 1! #MTLvsCAR #Redvolution 🚨🚨🚨🚨🚨,1,3,0,0,0,0,0,8919,1973,129,29,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,1,10,1,14,1,,
anyways i drew both of these awhile ago and i want her to see them. help me. thank u. @tinawoodsss @7TINA38 https://t.co/o3GkJRY9z7,2,0,0,0,0,0,0,9844,2242,100,3,0,0,0,0,0,0,0,0,0,0,0,4,5,6,8,6,8,9,13,1,,
Brilliant. Employing logic &amp; intellect. Imagine if we had consistent gun laws to protect citizens in continental US? https://t.co/AC8xj1Gaez,0,0,1,0,0,0,0,65239,10015,6771,221,0,0,0,0,0,0,0,0,0,0,0,5,6,5,6,6,8,7,8,1,,
Nice try @twitter switching the notifications tab with explore. No one cares about explore&#44; that's the whole point of following people,1,0,0,0,0,0,0,9043,819,123,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,,
Thousands without power in DeSoto County. Entergy Mississippi says power should be restored in Southaven and Horn Lake areas by 8 pm.,0,0,0,0,0,0,0,79519,55245,4285,643,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,3,0,,
@lpjoc I suppose if you like disproportionately high crime rates you might find them amazing.,1,0,0,1,1,1,0,13904,9511,876,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,
At this rate&#44; the only thing your children will ever inherit is the national debt.,0,0,0,0,0,0,0,128666,8744,3484,280,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,3,4,2,6,1,,
Bless the LORD&#44; O my soul&#44; and forget not all his benefits...Psa 103:2 KJV,0,0,0,0,0,0,0,36250,23122,23380,48,0,0,0,0,0,0,0,0,0,0,0,2,4,3,7,3,7,5,11,1,,
Congrats to my lil uso @saiahasiata on sweeping your volleyball tourney 🏐 #FamilyTime https://t.co/JS16D9AsU9,1,1,0,0,0,0,0,11879,4087,745,36,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,13,0,18,1,,
@lupash7 @mikerzer @SarCatStyX @KCarslin @nfulmer0827 gotta hit up the grocery store be back in about an hr https://t.co/ZC7Xt50sFf,5,0,0,1,1,1,0,226494,12406,11124,412,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,4,0,,
@UNrightswire corrupt Nigerian politicians; beneficiaries of colonial structures are blocking #Biafra from emerging to self-determination,1,1,0,1,1,0,0,35898,8922,284,30,0,0,0,0,0,0,0,0,0,0,0,8,0,15,0,19,0,152,6,1,,
Sexy lingerie model likes to rub her juicy boobs  #sexygirls #goth https://t.co/aTiZlx4n1N,0,2,0,0,0,0,1,16659,5344,3651,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,,
So much of what I see reminds me of what I read in a book&#44; when shouldn't it be the other way around? #YouveGotMail @flowersquiet,1,1,0,0,0,0,0,23932,2544,2691,86,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3,1,4,0,,
@veronicaxsoto I'm going to kiss u and hug u man,1,0,0,1,1,1,0,35258,1394,770,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,1,3,1,3,0,,
Sans tree skirt and not sure of topper/bow. #Christmas https://t.co/LHV3WDoVeG,0,1,0,0,0,0,0,65867,7564,5292,845,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,5,0,,
U know what.... https://t.co/ZC5R2lxXTX,0,0,1,0,0,0,0,333130,8752,958,436,0,0,0,0,0,0,0,0,0,0,0,9,3,22,8,24,11,26,11,1,,
You do feel old when you have friends that are blissfully happily married and pregnant,0,0,0,0,0,0,0,48715,2520,1939,18,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,2,3,0,,
USC and Stanford kick-off at 6:45&#44; who do you think will win the #Pac12FCG?,0,1,0,0,0,0,0,62449,114494,429,1080,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,3,2,3,2,0,,
I'm so happy for this. don't ever change. u have the kindest soul and a beautiful mind. keep that💗 I love u https://t.co/SeJEMl0cZK,0,0,1,0,0,0,0,36023,2026,331,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,,
Yes. We're LOVE and COMPASSION 💖💖 https://t.co/IIhoJzSxMw,0,0,1,0,0,0,0,232142,1623,388,69,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,0,,
As you all know I like to keep it one-fucking-hundred at all times. How you ask? Set her nudes as your lock screen so she knows it's real. 💯,0,0,0,0,0,0,0,99,2172,153,4,0,0,0,0,0,0,0,0,0,0,0,1,3,2,7,2,8,2,11,1,,
Retweeted Aircraft Retweet (@AircraftRetweet):RT @WorldAviation_: https://t.co/GJzEKa9aSg https://t.co/KxKfrGkye2,2,0,0,0,0,0,0,30538,1132,120,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,,
Now take control and fuck that #boipussy https://t.co/1ZiL2uqCDG,0,1,0,0,0,0,0,8244,8403,1439,32,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,0,,
@radastrology: haha https://t.co/2crzpyYP8t me you malichi and caleb @JoshNewman_ 😂😂😂,2,0,0,0,0,0,0,15898,1163,869,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,0,,
🎄 The best things in life aren't things #beautifulworld #gratitude #peace via @themoodcards https://t.co/jK3zgyOhFd https://t.co/5ubRsfrezQ,1,3,1,0,0,0,0,27779,2843,3037,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,,
@the_cr0w mate&#44; go to sleep&#44; you're going mad,1,0,0,1,1,1,0,22150,1182,371,19,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,4,0,,
thank you god https://t.co/k3iNFNyMaY,0,0,0,0,0,0,0,20174,666,589,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,12,0,14,1,,
@HellsDepot Thanks for the #ff! :) @NathanStrack @TheVorbing @12orphans @crashpalace @LuvKraft @riversidecrew @IFFlynn @lisabriercliffe,9,1,0,1,1,1,0,30713,20315,15612,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,
if I had a Fitbit I definitely wouldn't have gotten my 10&#44;000 steps today.....,0,0,0,0,0,0,0,4622,1559,527,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,5,0,,
i want a deep meaningful conversation with someone about films music politics books or whatever not some shitty 'what can we do😏' convo,0,0,0,0,0,0,0,10714,730,545,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0,,
This is why you talk mess AFTER the game...not BEFORE...🙊🙊🙊,0,0,0,0,0,0,0,19560,540,383,2,0,0,0,0,0,0,0,0,0,0,0,4,2,10,4,14,13,15,17,1,,
"5 Star Review: ""Very impressed☺️☺️☺️: I've been wanting to learn sign for a long time beca…"" https://t.co/xyqjjeI8HF https://t.co/dL56jGT7Hi",0,0,0,0,0,0,0,606,1289,653,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,6,1,,
in multi fandoms not just one,0,0,0,0,0,0,0,77136,7526,320,120,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,0,,
camila liked troye's tweet. i'm okay https://t.co/5dTVbPDi5R,0,0,0,0,0,0,0,162692,8591,99,80,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,,
If you get drunk on cheese&#44; you could be ineBRIEated,0,0,0,0,0,0,0,82006,2183,297,32,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,6,0,8,1,,
Because You are with Me&#44; I will not fear. @zeneeburton @Zinniia_g @mabiniandres  @zharrkho_cebu21#SPSDamiKongTawa https://t.co/KtEx4OBYn6,4,1,0,0,0,0,0,11284,2646,2644,5,0,0,0,0,0,0,0,0,0,0,0,6,3,9,4,10,5,10,5,0,,
Thanks for following along today from the #keithyoung,0,1,0,0,0,0,0,19322,7628,333,42,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,9,0,10,1,,
Ashton com a @5SOStowarped hoje.#MTVStars 5 Seconds Of Summer #VideoMTV2015 https://t.co/7Wbf7Cquk0,1,2,0,0,0,0,0,131494,33801,374,111,0,1,0,0,0,0,0,0,0,0,0,30,16,36,21,39,23,75,35,1,,
@lesliegodinez26 @hockeygrace fine we have an agreement,2,0,0,1,1,1,0,37911,1118,1677,10,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,2,0,,
Bought and paid for by the NRA. Moving up the ladder one larger paycheque at a time. In for the long haul unless... https://t.co/jNWNyDLCXe,0,0,0,0,0,0,0,76531,1561,1521,36,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,2,3,2,0,,
This post and podcast dedicated to @PEMEMS and @cliffreid for their AWESOMENESS (dedication at end)https://t.co/d1FKTXgaER#FOAMed #FOAMped,2,2,0,0,0,0,0,3170,1415,601,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,,
Only two more kids to go: Southern Belle West and Westington West before they got the full compass. I just-.... ;__; https://t.co/arPUNpGKEd,0,0,1,0,0,0,0,160079,17906,18712,197,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,,
Why Am I So Mean lol 😂😩,0,0,0,0,0,0,0,19259,2166,897,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,9,2,0,,
The greatest mistake we make is living in constant fear that we will make one.,0,0,0,0,0,0,0,7812,516585,622,772,0,0,0,0,0,0,0,0,0,0,0,41,49,52,72,79,90,141,145,1,,
